# OpenSignals Text File Format
# {"00:07:80:4D:2E:99": {"sensor": ["ECG", "XYZ", "XYZ", "XYZ", "SpO2", "SpO2"], "device name": "00:07:80:4D:2E:99", "column": ["nSeq", "DI", "ECG", "XYZ", "XYZ", "XYZ", "SpO2", "SpO2"], "sync interval": 2, "time": "14:36:09", "comments": "", "keywords": "", "device connection": "BTH00:07:80:4D:2E:99", "channels": [1, 2, 3, 4, 9, 10], "date": "2020-09-11", "mode": 0, "digital IO": [0, 1], "firmware version": 775, "device": "biosignalsplux", "position": 0, "sampling rate": 100, "label": ["ECG", "XYZ", "XYZ", "XYZ", "SpO2", "SpO2"], "resolution": [16, 16, 16, 16, 16, 16], "special": [{}, {}, {}, {}, {}, {}], "sleeve color": ["UNKNOWN", "UNKNOWN", "UNKNOWN", "UNKNOWN", "UNKNOWN", "UNKNOWN"]}, "internal sensors": {"sensor": ["xAcc", "yAcc", "zAcc", "xGyr", "yGyr", "zGyr", "xMag", "yMag", "zMag"], "device name": "internal sensors", "column": ["nSeq", "xAcc", "yAcc", "zAcc", "xGyr", "yGyr", "zGyr", "xMag", "yMag", "zMag"], "sync interval": 2, "time": "14:36:14", "comments": "", "keywords": "", "device connection": "UNKNOWNinternal sensors", "channels": [0, 1, 2, 3, 4, 5, 6, 7, 8], "date": "2020-09-11", "mode": 0, "digital IO": [], "firmware version": 0, "device": "android", "position": 0, "sampling rate": 100, "label": ["xAcc", "yAcc", "zAcc", "xGyr", "yGyr", "zGyr", "xMag", "yMag", "zMag"], "resolution": [1, 1, 1, 1, 1, 1, 1, 1, 1], "special": [{}, {}, {}, {}, {}, {}, {}, {}, {}], "sleeve color": ["UNKNOWN", "UNKNOWN", "UNKNOWN", "UNKNOWN", "UNKNOWN", "UNKNOWN", "UNKNOWN", "UNKNOWN", "UNKNOWN"]}}
# EndOfHeader
0.0	0.0	-0.11608060138616291	0.123563789	8.74753179	3.271498439	0.31270751953125	0.3998291015625	99.879	-0.9768343	-9.753978	1.0797849	0.0025473014	0.00478918339	0.00154548909	-26.19	39.0	-13.2000119	
0.01	0.0	-0.07385313803361139	0.12944778	8.76910643	3.265614449	0.312725830078125	0.39971923828125	99.89	-0.98162269	-9.7491889	1.09055889	0.0031581669	0.004178318	0.00093462389	-26.19	39.0	-13.2000119	
0.02	0.0	-0.08679091403949951	0.119641129	8.735763819	3.289150409	0.312744140625	0.39971923828125	99.9	-0.9971849	-9.750386	1.08098209	0.00437989829	0.0035674529	0.00154548909	-26.19	39.0	-13.2000119	
0.03	0.0	-0.028391230679587834	0.100027829	8.723995839	3.29699573	0.31270751953125	0.399700927734375	99.909	-0.99000239	-9.753978	1.0666169	0.0049907639	0.0011239918	0.0027672194	-26.19	39.0	-13.2000119	
0.04	0.0	-0.054221859858010306	0.141215759	8.716150519	3.2754211	0.312725830078125	0.399627685546875	99.92	-0.99000239	-9.7659479	1.0570401	0.00437989829	-0.0013194689	0.0045998152	-26.19	39.0	-13.2000119	
0.05	0.0	-0.006289196669528951	0.13337044	8.716150519	3.226387849	0.31270751953125	0.3996826171875	99.93	-0.9696517	-9.769539	1.06901109	0.00437989829	0.0011239918	0.0052106809	-26.3	39.0	-13.2000119	
0.06	0.0	-0.023854024510856234	0.143177089	8.70830519	3.242078489	0.31278076171874997	0.3996093749	99.939	-0.96007489	-9.764751	1.067814	0.0037690327	0.00478918339	0.0052106809	-26.3	39.0	-13.2000119	
0.07	0.0	0.006648579336359177	0.158867729	8.71026653	3.242078489	0.312725830078125	0.399591064453125	99.95	-0.939724149	-9.757569	1.05823719	0.0031581669	0.006010914	0.0045998152	-26.3	39.0	-13.2000119	
0.08	0.0	-0.004671974668792935	0.164751719	8.696537219	3.25776913	0.312725830078125	0.399591064453125	99.96	-0.942118349	-9.76116	1.0378864	0.0025473014	0.00478918339	0.0033780846	-26.3	39.0	-13.2000119	
0.09	0.0	0.020125429342492642	0.1569064	8.725957169	3.29699573	0.312762451171875	0.399591064453125	99.969	-0.93373865	-9.763555	1.04028059	0.00132557	0.00173485739	0.0021563543	-26.3	39.0	-13.100006	
0.1	0.0	-0.0032344440014720316	0.13533177	8.76714509	3.247962479	0.31278076171874997	0.3996826171875	99.98	-0.9576807	-9.757569	1.05943429	0.00010383874	-0.0007086033	0.00154548909	-26.3	39.0	-13.100006	
0.11	0.0	0.027852156679342495	0.13337044	8.77106776	3.287189079	0.31285400390625	0.3996093749	99.99	-0.97922849	-9.767146	1.0881647	0.00010383874	-0.00193033459	0.00093462389	-26.3	39.0	-13.2000119	
0.12	0.0	0.00017969133341511287	0.101989159	8.716150519	3.27345977	0.3128173828125	0.39966430664062497	100.0	-0.98641109	-9.775525	1.08217919	0.00010383874	-0.0031520649	0.00093462389	-26.3	39.0	-13.2000119	
0.13	0.0	0.028076770846111387	0.16867438	8.706343869	3.19892923	0.31278076171874997	0.399591064453125	100.01	-0.9983821	-9.76116	1.0833763	-0.00181424619	-0.0031459536	-0.00069638714	-26.3	39.0	-13.2000119	
0.14	0.0	-0.004312592001962709	0.158867729	8.735763819	3.185199919	0.31285400390625	0.39964599609375	100.019	-0.9971849	-9.7587659	1.08696759	-0.00120338049	-0.002535088	-8.5521955e-05	-26.3	39.0	-13.2000119	
0.15	0.0	0.026774008678851817	0.158867729	8.72791849	3.24011716	0.31287231445312497	0.399627685546875	100.03	-1.00436759	-9.76116	1.0797849	-0.0005925149	-0.00192422329	0.0011362084	-26.399998	39.1	-13.3999939	
